x,y,z,Bx,By,Bz
-10.0,40.0,10.0,-1.781,-1.188,-0.594
-10.0,40.0,20.0,-1.335,-0.696,-0.522
-10.0,40.0,30.0,-0.959,-0.384,-0.384
-10.0,40.0,40.0,-0.682,-0.21,-0.262
0.0,-40.0,-40.0,-1.6,-0.0,-0.0
0.0,-40.0,-30.0,-2.236,-0.0,-0.0
0.0,-40.0,-20.0,-2.853,-0.0,-0.0
0.0,-40.0,-10.0,-3.125,-0.0,0.0
0.0,-40.0,0.0,-2.853,-0.0,0.0
0.0,-40.0,10.0,-2.236,-0.0,0.0
0.0,-40.0,20.0,-1.6,-0.0,0.0
0.0,-40.0,30.0,-1.105,-0.0,0.0
0.0,-40.0,40.0,-0.762,-0.0,0.0
0.0,-30.0,-40.0,-2.619,-0.0,-0.0
0.0,-30.0,-30.0,-4.267,-0.0,-0.0
0.0,-30.0,-20.0,-6.325,-0.0,-0.0
0.0,-30.0,-10.0,-7.407,-0.0,0.0
0.0,-30.0,0.0,-6.325,-0.0,0.0
0.0,-30.0,10.0,-4.267,-0.0,0.0
0.0,-30.0,20.0,-2.619,-0.0,0.0
0.0,-30.0,30.0,-1.6,-0.0,0.0
0.0,-30.0,40.0,-1.009,-0.0,0.0
0.0,-20.0,-40.0,-4.267,-0.0,-0.0
0.0,-20.0,-30.0,-8.839,-0.0,-0.0
0.0,-20.0,-20.0,-17.889,-0.0,-0.0
0.0,-20.0,-10.0,-25.0,-0.0,0.0
0.0,-20.0,0.0,-17.889,-0.0,0.0
0.0,-20.0,10.0,-8.839,-0.0,0.0
0.0,-20.0,20.0,-4.267,-0.0,0.0
0.0,-20.0,30.0,-2.236,-0.0,0.0
0.0,-20.0,40.0,-1.281,-0.0,0.0
0.0,-10.0,-40.0,-6.325,-0.0,-0.0
0.0,-10.0,-30.0,-17.889,-0.0,-0.0
0.0,-10.0,-20.0,-70.711,-0.0,-0.0
0.0,-10.0,-10.0,-200.0,-0.0,0.0
0.0,-10.0,0.0,-70.711,-0.0,0.0
0.0,-10.0,10.0,-17.889,-0.0,0.0
0.0,-10.0,20.0,-6.325,-0.0,0.0
0.0,-10.0,30.0,-2.853,-0.0,0.0
0.0,-10.0,40.0,-1.509,-0.0,0.0
0.0,0.0,-40.0,-7.407,0.0,-0.0
0.0,0.0,-30.0,-25.0,0.0,-0.0
0.0,0.0,-20.0,-200.0,0.0,-0.0
0.0,0.0,-10.0,-1600.0,0.0,0.0
0.0,0.0,0.0,-200.0,0.0,0.0
0.0,0.0,10.0,-25.0,0.0,0.0
0.0,0.0,20.0,-7.407,0.0,0.0
0.0,0.0,30.0,-3.125,0.0,0.0
0.0,0.0,40.0,-1.6,0.0,0.0
0.0,10.0,-40.0,-6.325,0.0,-0.0
0.0,10.0,-30.0,-17.889,0.0,-0.0
0.0,10.0,-20.0,-70.711,0.0,-0.0
0.0,10.0,-10.0,-200.0,0.0,0.0
0.0,10.0,0.0,-70.711,0.0,0.0
0.0,10.0,10.0,-17.889,0.0,0.0
0.0,10.0,20.0,-6.325,0.0,0.0
0.0,10.0,30.0,-2.853,0.0,0.0
0.0,10.0,40.0,-1.509,0.0,0.0
0.0,20.0,-40.0,-4.267,0.0,-0.0
0.0,20.0,-30.0,-8.839,0.0,-0.0
0.0,20.0,-20.0,-17.889,0.0,-0.0
0.0,20.0,-10.0,-25.0,0.0,0.0
0.0,20.0,0.0,-17.889,0.0,0.0
